Sample_ID,Species,Site,Species_Group,Site_Group,Test,Download_link,Ref
Y0006C,Schizothorax wangchiachii,Y_01_A,C_Schizothorax_wangchiachii,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax_lantsangensis
Y0007C,Schizothorax wangchiachii,Y_01_A,C_Schizothorax_wangchiachii,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax_lantsangensis
Y0008C,Schizothorax wangchiachii,Y_01_A,C_Schizothorax_wangchiachii,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax_lantsangensis
Y0009C,Schizothorax wangchiachii,Y_01_A,C_Schizothorax_wangchiachii,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax_lantsangensis
Y0010C,Schizothorax wangchiachii,Y_01_A,C_Schizothorax_wangchiachii,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax_lantsangensis
Y0011C,Glyptothorax fokiensis,Y_01_A,C_Glyptothorax_fokiensis,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/784/505/GCA_005784505.1_ASM578450v1/GCA_005784505.1_ASM578450v1_genomic.fna.gz,Bagarius_yarrelli
Y0012C,Glyptothorax fokiensis,Y_01_A,C_Glyptothorax_fokiensis,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/784/505/GCA_005784505.1_ASM578450v1/GCA_005784505.1_ASM578450v1_genomic.fna.gz,Bagarius_yarrelli
Y0013C,Glyptothorax fokiensis,Y_01_A,C_Glyptothorax_fokiensis,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/784/505/GCA_005784505.1_ASM578450v1/GCA_005784505.1_ASM578450v1_genomic.fna.gz,Bagarius_yarrelli
Y0014C,Glyptothorax fokiensis,Y_01_A,C_Glyptothorax_fokiensis,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/784/505/GCA_005784505.1_ASM578450v1/GCA_005784505.1_ASM578450v1_genomic.fna.gz,Bagarius_yarrelli
Y0015C,Glyptothorax fokiensis,Y_01_A,C_Glyptothorax_fokiensis,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/784/505/GCA_005784505.1_ASM578450v1/GCA_005784505.1_ASM578450v1_genomic.fna.gz,Bagarius_yarrelli
Y0016C,Rhinogobius similis,Y_01_A,C_Rhinogobius_similis,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/453/435/GCA_019453435.1_ASM1945343v1/GCA_019453435.1_ASM1945343v1_genomic.fna.gz,Rhinogobius_similis
Y0017C,Percocypris pingi,Y_01_A,C_Percocypris_pingi,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax_lantsangensis
Y0018C,Percocypris pingi,Y_01_A,C_Percocypris_pingi,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax_lantsangensis
Y0019C,Gnathopogon imberbis,Y_01_A,C_Gnathopogon_imberbis,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/029/165/GCA_023029165.1_ASM2302916v1/GCA_023029165.1_ASM2302916v1_genomic.fna.gz,Gobiocypris_rarus
Y0020C,Gnathopogon imberbis,Y_01_A,C_Gnathopogon_imberbis,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/029/165/GCA_023029165.1_ASM2302916v1/GCA_023029165.1_ASM2302916v1_genomic.fna.gz,Gobiocypris_rarus
Y0021C,Schizothorax kozlovi,Y_01_A,C_Schizothorax_kozlovi,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax_lantsangensis
Y0022C,Schizothorax kozlovi,Y_01_A,C_Schizothorax_kozlovi,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax_lantsangensis
Y0023C,Schizothorax kozlovi,Y_01_A,C_Schizothorax_kozlovi,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax_lantsangensis
Y0024C,Schizothorax kozlovi,Y_01_A,C_Schizothorax_kozlovi,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax_lantsangensis
Y0025C,Schizothorax kozlovi,Y_01_A,C_Schizothorax_kozlovi,Y_01_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax_lantsangensis
Y0028C,Paramisgurnus dabryanus,Y_02_A,C_Paramisgurnus_dabryanus,Y_02_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/506/205/GCA_030506205.1_PD_contigs_1.0/GCA_030506205.1_PD_contigs_1.0_genomic.fna.gz,Paramisgurnus_dabryanus
Y0030C,Triplophysa bleekeri,Y_02_A,C_Triplophysa_bleekeri,Y_02_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/030/095/GCA_006030095.1_ASM603009v1/GCA_006030095.1_ASM603009v1_genomic.fna.gz,Triplophysa_stenura
Y0031C,Claea dabryi,Y_02_A,C_Claea_dabryi,Y_02_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/030/095/GCA_006030095.1_ASM603009v1/GCA_006030095.1_ASM603009v1_genomic.fna.gz,Triplophysa_stenura
Y0032C,Claea dabryi,Y_02_A,C_Claea_dabryi,Y_02_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/030/095/GCA_006030095.1_ASM603009v1/GCA_006030095.1_ASM603009v1_genomic.fna.gz,Triplophysa_stenura
Y0033C,Gymnocypris potanini,Y_02_A,C_Gymnocypris_potanini,Y_02_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/564/155/GCA_027564155.1_ASM2756415v1/GCA_027564155.1_ASM2756415v1_genomic.fna.gz,Gymnocypris_eckloni
Y0034C,Gymnocypris potanini,Y_02_A,C_Gymnocypris_potanini,Y_02_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/564/155/GCA_027564155.1_ASM2756415v1/GCA_027564155.1_ASM2756415v1_genomic.fna.gz,Gymnocypris_eckloni
Y0035C,Gymnocypris potanini,Y_02_A,C_Gymnocypris_potanini,Y_02_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/564/155/GCA_027564155.1_ASM2756415v1/GCA_027564155.1_ASM2756415v1_genomic.fna.gz,Gymnocypris_eckloni
Y0036C,Gymnocypris potanini,Y_02_A,C_Gymnocypris_potanini,Y_02_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/564/155/GCA_027564155.1_ASM2756415v1/GCA_027564155.1_ASM2756415v1_genomic.fna.gz,Gymnocypris_eckloni
Y0038C,Procypris rabaudi,Y_03_A,C_Procypris_rabaudi,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/340/385/GCF_018340385.1_ASM1834038v1/GCF_018340385.1_ASM1834038v1_genomic.fna.gz,Cyprinus_carpio
Y0039C,Procypris rabaudi,Y_03_A,C_Procypris_rabaudi,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/340/385/GCF_018340385.1_ASM1834038v1/GCF_018340385.1_ASM1834038v1_genomic.fna.gz,Cyprinus_carpio
Y0040C,Procypris rabaudi,Y_03_A,C_Procypris_rabaudi,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/340/385/GCF_018340385.1_ASM1834038v1/GCF_018340385.1_ASM1834038v1_genomic.fna.gz,Cyprinus_carpio
Y0041C,Procypris rabaudi,Y_03_A,C_Procypris_rabaudi,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/340/385/GCF_018340385.1_ASM1834038v1/GCF_018340385.1_ASM1834038v1_genomic.fna.gz,Cyprinus_carpio
Y0042C,Procypris rabaudi,Y_03_A,C_Procypris_rabaudi,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/340/385/GCF_018340385.1_ASM1834038v1/GCF_018340385.1_ASM1834038v1_genomic.fna.gz,Cyprinus_carpio
Y0043C,Hemiculterella sauvagei,Y_03_A,C_Hemiculterella_sauvagei,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/731/715/GCA_003731715.1_BGI_Agra_1.0/GCA_003731715.1_BGI_Agra_1.0_genomic.fna.gz,Anabarilius_grahami
Y0044C,Hemiculterella sauvagei,Y_03_A,C_Hemiculterella_sauvagei,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/731/715/GCA_003731715.1_BGI_Agra_1.0/GCA_003731715.1_BGI_Agra_1.0_genomic.fna.gz,Anabarilius_grahami
Y0045C,Hemiculterella sauvagei,Y_03_A,C_Hemiculterella_sauvagei,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/731/715/GCA_003731715.1_BGI_Agra_1.0/GCA_003731715.1_BGI_Agra_1.0_genomic.fna.gz,Anabarilius_grahami
Y0046C,Hemiculterella sauvagei,Y_03_A,C_Hemiculterella_sauvagei,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/731/715/GCA_003731715.1_BGI_Agra_1.0/GCA_003731715.1_BGI_Agra_1.0_genomic.fna.gz,Anabarilius_grahami
Y0047C,Hemiculterella sauvagei,Y_03_A,C_Hemiculterella_sauvagei,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/731/715/GCA_003731715.1_BGI_Agra_1.0/GCA_003731715.1_BGI_Agra_1.0_genomic.fna.gz,Anabarilius_grahami
Y0048C,Pseudogyrinocheilus prochilus,Y_03_A,C_Pseudogyrinocheilus_prochilus,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/405/GCA_027422405.1_SKLP_Pkaz_1.1/GCA_027422405.1_SKLP_Pkaz_1.1_genomic.fna.gz,Ptychobarbus_kaznakovi
Y0049C,Pseudogyrinocheilus prochilus,Y_03_A,C_Pseudogyrinocheilus_prochilus,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/405/GCA_027422405.1_SKLP_Pkaz_1.1/GCA_027422405.1_SKLP_Pkaz_1.1_genomic.fna.gz,Ptychobarbus_kaznakovi
Y0050C,Pseudogyrinocheilus prochilus,Y_03_A,C_Pseudogyrinocheilus_prochilus,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/405/GCA_027422405.1_SKLP_Pkaz_1.1/GCA_027422405.1_SKLP_Pkaz_1.1_genomic.fna.gz,Ptychobarbus_kaznakovi
Y0051C,Pseudogyrinocheilus prochilus,Y_03_A,C_Pseudogyrinocheilus_prochilus,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/405/GCA_027422405.1_SKLP_Pkaz_1.1/GCA_027422405.1_SKLP_Pkaz_1.1_genomic.fna.gz,Ptychobarbus_kaznakovi
Y0052C,Pseudogyrinocheilus prochilus,Y_03_A,C_Pseudogyrinocheilus_prochilus,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/405/GCA_027422405.1_SKLP_Pkaz_1.1/GCA_027422405.1_SKLP_Pkaz_1.1_genomic.fna.gz,Ptychobarbus_kaznakovi
Y0056C,Acrossocheilus yunnanensis,Y_03_A,C_Acrossocheilus_yunnanensis,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/620/275/GCA_029620275.1_ASM2962027v1/GCA_029620275.1_ASM2962027v1_genomic.fna.gz,Acrossocheilus_wenchowensis
Y0057C,Acrossocheilus yunnanensis,Y_03_A,C_Acrossocheilus_yunnanensis,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/620/275/GCA_029620275.1_ASM2962027v1/GCA_029620275.1_ASM2962027v1_genomic.fna.gz,Acrossocheilus_wenchowensis
Y0058C,Acrossocheilus yunnanensis,Y_03_A,C_Acrossocheilus_yunnanensis,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/620/275/GCA_029620275.1_ASM2962027v1/GCA_029620275.1_ASM2962027v1_genomic.fna.gz,Acrossocheilus_wenchowensis
Y0061C,Acrossocheilus yunnanensis,Y_03_B,C_Acrossocheilus_yunnanensis,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/620/275/GCA_029620275.1_ASM2962027v1/GCA_029620275.1_ASM2962027v1_genomic.fna.gz,Acrossocheilus_wenchowensis
Y0064C,Onychostoma simum,Y_03_A,C_Onychostoma_simum,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/432/095/GCF_012432095.1_ASM1243209v1/GCF_012432095.1_ASM1243209v1_genomic.fna.gz,Onychostoma_macrolepis
Y0065C,Onychostoma simum,Y_03_B,C_Onychostoma_simum,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/432/095/GCF_012432095.1_ASM1243209v1/GCF_012432095.1_ASM1243209v1_genomic.fna.gz,Onychostoma_macrolepis
Y0066C,Onychostoma simum,Y_03_B,C_Onychostoma_simum,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/432/095/GCF_012432095.1_ASM1243209v1/GCF_012432095.1_ASM1243209v1_genomic.fna.gz,Onychostoma_macrolepis
Y0067C,Onychostoma simum,Y_03_B,C_Onychostoma_simum,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/432/095/GCF_012432095.1_ASM1243209v1/GCF_012432095.1_ASM1243209v1_genomic.fna.gz,Onychostoma_macrolepis
Y0068C,Onychostoma simum,Y_03_B,C_Onychostoma_simum,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/432/095/GCF_012432095.1_ASM1243209v1/GCF_012432095.1_ASM1243209v1_genomic.fna.gz,Onychostoma_macrolepis
Y0069C,Ageneiogarra imberba,Y_03_A,C_Ageneiogarra_imberba,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/148/995/GCA_018148995.1_ASM1814899v1/GCA_018148995.1_ASM1814899v1_genomic.fna.gz,Sinocyclocheilus_maitianheensis
Y0070C,Ageneiogarra imberba,Y_03_A,C_Ageneiogarra_imberba,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/148/995/GCA_018148995.1_ASM1814899v1/GCA_018148995.1_ASM1814899v1_genomic.fna.gz,Sinocyclocheilus_maitianheensis
Y0071C,Ageneiogarra imberba,Y_03_A,C_Ageneiogarra_imberba,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/148/995/GCA_018148995.1_ASM1814899v1/GCA_018148995.1_ASM1814899v1_genomic.fna.gz,Sinocyclocheilus_maitianheensis
Y0072C,Ageneiogarra imberba,Y_03_B,C_Ageneiogarra_imberba,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/148/995/GCA_018148995.1_ASM1814899v1/GCA_018148995.1_ASM1814899v1_genomic.fna.gz,Sinocyclocheilus_maitianheensis
Y0073C,Ageneiogarra imberba,Y_03_B,C_Ageneiogarra_imberba,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/148/995/GCA_018148995.1_ASM1814899v1/GCA_018148995.1_ASM1814899v1_genomic.fna.gz,Sinocyclocheilus_maitianheensis
Y0074C,Homatula variegata,Y_03_A,C_Homatula_variegata,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/030/095/GCA_006030095.1_ASM603009v1/GCA_006030095.1_ASM603009v1_genomic.fna.gz,Triplophysa_stenura
Y0075C,Homatula variegata,Y_03_A,C_Homatula_variegata,Y_03_A,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/030/095/GCA_006030095.1_ASM603009v1/GCA_006030095.1_ASM603009v1_genomic.fna.gz,Triplophysa_stenura
Y0077C,Hemibagrus macropterus,Y_03_B,C_Hemibagrus_macropterus,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/097/595/GCF_019097595.1_SWU_Hwy_1.0/GCF_019097595.1_SWU_Hwy_1.0_genomic.fna.gz,Hemibagrus_wyckioides
Y0078C,Hemibagrus macropterus,Y_03_B,C_Hemibagrus_macropterus,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/097/595/GCF_019097595.1_SWU_Hwy_1.0/GCF_019097595.1_SWU_Hwy_1.0_genomic.fna.gz,Hemibagrus_wyckioides
Y0079C,Hemibagrus macropterus,Y_03_B,C_Hemibagrus_macropterus,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/097/595/GCF_019097595.1_SWU_Hwy_1.0/GCF_019097595.1_SWU_Hwy_1.0_genomic.fna.gz,Hemibagrus_wyckioides
Y0080C,Hemibagrus macropterus,Y_03_B,C_Hemibagrus_macropterus,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/097/595/GCF_019097595.1_SWU_Hwy_1.0/GCF_019097595.1_SWU_Hwy_1.0_genomic.fna.gz,Hemibagrus_wyckioides
Y0081C,Hemibagrus macropterus,Y_03_B,C_Hemibagrus_macropterus,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/097/595/GCF_019097595.1_SWU_Hwy_1.0/GCF_019097595.1_SWU_Hwy_1.0_genomic.fna.gz,Hemibagrus_wyckioides
Y0082C,Acrossocheilus monticola,Y_03_B,C_Acrossocheilus_monticola,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/620/275/GCA_029620275.1_ASM2962027v1/GCA_029620275.1_ASM2962027v1_genomic.fna.gz,Acrossocheilus_wenchowensis
Y0083C,Acrossocheilus monticola,Y_03_B,C_Acrossocheilus_monticola,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/620/275/GCA_029620275.1_ASM2962027v1/GCA_029620275.1_ASM2962027v1_genomic.fna.gz,Acrossocheilus_wenchowensis
Y0084C,Acrossocheilus monticola,Y_03_B,C_Acrossocheilus_monticola,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/620/275/GCA_029620275.1_ASM2962027v1/GCA_029620275.1_ASM2962027v1_genomic.fna.gz,Acrossocheilus_wenchowensis
Y0085C,Acrossocheilus monticola,Y_03_B,C_Acrossocheilus_monticola,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/620/275/GCA_029620275.1_ASM2962027v1/GCA_029620275.1_ASM2962027v1_genomic.fna.gz,Acrossocheilus_wenchowensis
Y0086C,Acrossocheilus monticola,Y_03_B,C_Acrossocheilus_monticola,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/620/275/GCA_029620275.1_ASM2962027v1/GCA_029620275.1_ASM2962027v1_genomic.fna.gz,Acrossocheilus_wenchowensis
Y0087C,Siniperca knerii,Y_03_B,C_Siniperca_knerii,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/952/075/GCA_011952075.1_sinKne6b/GCA_011952075.1_sinKne6b_genomic.fna.gz,Siniperca_knerii
Y0088C,Siniperca knerii,Y_03_B,C_Siniperca_knerii,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/952/075/GCA_011952075.1_sinKne6b/GCA_011952075.1_sinKne6b_genomic.fna.gz,Siniperca_knerii
Y0089C,Siniperca knerii,Y_03_B,C_Siniperca_knerii,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/952/075/GCA_011952075.1_sinKne6b/GCA_011952075.1_sinKne6b_genomic.fna.gz,Siniperca_knerii
Y0090C,Siniperca knerii,Y_03_B,C_Siniperca_knerii,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/952/075/GCA_011952075.1_sinKne6b/GCA_011952075.1_sinKne6b_genomic.fna.gz,Siniperca_knerii
Y0091C,Siniperca knerii,Y_03_B,C_Siniperca_knerii,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/952/075/GCA_011952075.1_sinKne6b/GCA_011952075.1_sinKne6b_genomic.fna.gz,Siniperca_knerii
Y0092C,Rhinogobio typus,Y_03_B,C_Rhinogobio_typus,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/749/465/GCA_018749465.1_ASM1874946v1/GCA_018749465.1_ASM1874946v1_genomic.fna.gz,Paracanthobrama_guichenoti
Y0093C,Rhinogobio typus,Y_03_B,C_Rhinogobio_typus,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/749/465/GCA_018749465.1_ASM1874946v1/GCA_018749465.1_ASM1874946v1_genomic.fna.gz,Paracanthobrama_guichenoti
Y0094C,Rhinogobio typus,Y_03_B,C_Rhinogobio_typus,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/749/465/GCA_018749465.1_ASM1874946v1/GCA_018749465.1_ASM1874946v1_genomic.fna.gz,Paracanthobrama_guichenoti
Y0095C,Rhinogobio typus,Y_03_B,C_Rhinogobio_typus,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/749/465/GCA_018749465.1_ASM1874946v1/GCA_018749465.1_ASM1874946v1_genomic.fna.gz,Paracanthobrama_guichenoti
Y0096C,Rhinogobio typus,Y_03_B,C_Rhinogobio_typus,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/749/465/GCA_018749465.1_ASM1874946v1/GCA_018749465.1_ASM1874946v1_genomic.fna.gz,Paracanthobrama_guichenoti
Y0097C,Tachysurus crassilabris,Y_03_B,C_Tachysurus_crassilabris,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/655/615/GCF_022655615.1_HZAU_PFXX_2.0/GCF_022655615.1_HZAU_PFXX_2.0_genomic.fna.gz,Tachysurus_fulvidraco
Y0098C,Tachysurus crassilabris,Y_03_B,C_Tachysurus_crassilabris,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/655/615/GCF_022655615.1_HZAU_PFXX_2.0/GCF_022655615.1_HZAU_PFXX_2.0_genomic.fna.gz,Tachysurus_fulvidraco
Y0099C,Tachysurus crassilabris,Y_03_B,C_Tachysurus_crassilabris,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/655/615/GCF_022655615.1_HZAU_PFXX_2.0/GCF_022655615.1_HZAU_PFXX_2.0_genomic.fna.gz,Tachysurus_fulvidraco
Y0100C,Tachysurus crassilabris,Y_03_B,C_Tachysurus_crassilabris,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/655/615/GCF_022655615.1_HZAU_PFXX_2.0/GCF_022655615.1_HZAU_PFXX_2.0_genomic.fna.gz,Tachysurus_fulvidraco
Y0101C,Tachysurus crassilabris,Y_03_B,C_Tachysurus_crassilabris,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/655/615/GCF_022655615.1_HZAU_PFXX_2.0/GCF_022655615.1_HZAU_PFXX_2.0_genomic.fna.gz,Tachysurus_fulvidraco
Y0102C,Spinibarbus sinensis,Y_03_B,C_Spinibarbus_sinensis,Y_03_B,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax_lantsangensis
